prod_testCaseID,prod_testCase,prod_code,version,active,category,name,description,sla,owner_contact_mob,owner_contact_email,requiredFeatures_code,requiredFeatures_version,requiredFeatures_configs,optionalFeatures_code,optionalFeatures_version,optionalFeatures_configs,product_configs,err_text_code,err_field,err_message
TC21,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major (SEMVER) of required feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,d.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Required Feature: (QR) (d.0.1),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC22,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + minor (SEMVER) of required feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,d.d.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Required Feature: (QR) (d.d.1),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC23,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + minor + patch (SEMVER) of required feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,d.d.d,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Required Feature: (QR) (d.d.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC24,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid major + patch (SEMVER) of required feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,d.0.d,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Required Feature: (QR) (d.0.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC25,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid minor (SEMVER) of required feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.d.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Required Feature: (QR) (1.d.1),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC26,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid minor + patch (SEMVER) of required feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.d.d,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Required Feature: (QR) (1.d.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC27,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid patch (SEMVER) of required feature's version,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.d,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Required Feature: (QR) (1.0.d),"Invalid version format. Must be: {major}.{minor}.{patch}, and be positive integers."
TC28,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with invalid ISO8601 format of SLA,Vault,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,1DP,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Blueprint: (Plugin) (1.0.0),"sla must follow ISO8601 Duration format, eg. P1DT3H for 1 Day, 3 hours."
TC29,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product Code is NULL,,1.0.0,TRUE,Android,Vault with disk,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint definition: () (1.0.0),Blueprint definition already exists.
TC30,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product Name is NULL,Vault,1.0.0,TRUE,Android,,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,Blueprint: (Vault) (1.0.0),
TC31,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product Category is NULL,Vault,1.0.0,TRUE,Android,Vault with disk,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,,
TC32,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product with SLA is NULL,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,Blueprint: (Plugin) (1.0.0),"sla must follow ISO8601 Duration format, eg. P1DT3H for 1 Day, 3 hours."
TC33,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product OwnerContactDetails - MobileNumber is NULL,Vault,1.0.0,TRUE,Android,Vault with disk,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,,
TC34,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product OwnerContactDetails - Email is NULL,Vault,1.0.0,TRUE,Android,Vault with disk,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,,
TC35,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product RequiredFeature - Code is NULL,Vault,1.0.0,TRUE,Android,Vault with disk,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,,
TC36,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product RequiredFeature - Version is NULL,Vault,1.0.0,TRUE,Android,Vault with disk,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,,
TC37,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product OptionalFeature - Code is NULL,Vault,1.0.0,TRUE,Android,Vault with disk,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,,
TC38,[RAIDEN_PR_0002-VALIDATION ERR] Declined Product OptionalFeature - Version is NULL,Vault,1.0.0,TRUE,Android,Vault with disk,Vault with disk: Android,P1D,9123456789,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0002,,
TC39,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with Code exceeds the maximum data size value,This is to test the maximum data size of the blueprint code. It should accepts one 100 characters only,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,code,size must be between 1 and 100
TC40,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with Version exceeds the maximum data size value,Plugin,2000.1000.1000,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,version,size must be between 0 and 12
TC41,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with Category exceeds the maximum data size value,Plugin,1.0.0,TRUE,This is to test the maximum data size of the blueprint category. It should accepts one 100 characters only,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,category,size must be between 1 and 100
TC42,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with Name exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,This is to test the maximum data size of the blueprint name. It should accepts one 100 characters only,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,name,size must be between 1 and 100
TC43,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with Description exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,"This is to test the maximum data size of the blueprint name. It should accepts one 255 characters only. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas molestiae corporis consequatur soluta sunt dolore non dolores dolorum suscipit esse adipisci, distinctio.",P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,description,size must be between 0 and 255
TC44,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with SLA exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P131212199191DT999H999M,639972789133,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,sla,size must be between 0 and 20
TC45,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with OwnerContactDetails - MobileNumber exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,6399727891331230,testing@gmail.com,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,ownerContactDetails.mobileNumber,size must be between 11 and 15
TC46,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with OwnerContactDetails - Email exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,This is to test the maximum data size of the blueprint category. It should accepts one 100 characters only,QR,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,ownerContactDetails.email,size must be between 1 and 100
TC47,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with RequiredFeature - Code exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,This is to test the maximum data size of the blueprint code. It should accepts one 100 characters only,1.0.1,{},QR,3.0.1,{},{},RAIDEN_PR_0001,requiredFeatures[0].code,size must be between 1 and 100
TC48,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with RequiredFeature - Version exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,2000.1000.1000,{},QR,3.0.1,{},{},RAIDEN_PR_0001,requiredFeatures[0].version,size must be between 0 and 12
TC49,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with OptionalFeature - Code exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},This is to test the maximum data size of the blueprint code. It should accepts one 100 characters only,3.0.1,{},{},RAIDEN_PR_0001,optionalFeatures[0].code,size must be between 1 and 100
TC50,[RAIDEN_PR_0001-VALIDATION ERR] Declined Product with OptionalFeature - Version exceeds the maximum data size value,Plugin,1.0.0,TRUE,WooCommerce Integration,Plugin feature,Checkout: Plugin Feature,P1D,639972789133,testing@gmail.com,QR,1.0.1,{},QR,2000.1000.1000,{},{},RAIDEN_PR_0001,optionalFeatures[0].version,size must be between 0 and 12
